   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
              0.7307,             0.81946,             0.81194,             0.64559,            0.010477,            0.021063,            0.018681,             0.00887,                0.01,                0.98,             0.00048,              3.0974,              0.7859,             0.08587,             0.03395,             0.53189,             0.75357,              1.3456,             0.94601,                 0.2,              2.6535,                   0,             0.00859,             0.50703,             0.27591,                   0,             0.07562,             0.42291,                   0,                   0,                   0,                 0.5,             0.77631,                   0,                   0,              2.5633
             0.75575,              0.8045,             0.81873,             0.64959,            0.011141,            0.021458,             0.02041,             0.00797,                0.01,             0.96008,             0.00052,              3.0974,             0.72225,             0.07737,             0.03463,             0.52057,             0.78595,              1.1192,              1.2432,                 0.2,              4.5307,                   0,             0.00873,             0.65453,             0.27591,                   0,             0.09311,             0.36175,                   0,                   0,                   0,                 0.5,             0.78159,                   0,                   0,              2.1285
             0.72435,             0.84271,              0.8216,             0.65742,            0.010632,            0.025964,            0.019813,             0.01055,             0.01221,                0.98,             0.00045,              2.2777,             0.63012,              0.0882,             0.03363,             0.54827,             0.75357,              1.3005,              1.3619,                 0.2,                5.05,                   0,             0.00882,             0.65028,             0.27591,                   0,             0.10355,              0.3904,                   0,                   0,                   0,                 0.5,             0.74526,                   0,                   0,              2.5633
             0.73807,              0.8271,              0.8191,               0.654,            0.015861,            0.015299,            0.019731,             0.00954,             0.01031,               0.937,             0.00056,              2.5351,                 0.8,             0.10744,              0.0496,             0.46265,              1.1286,             0.92402,                   1,                 0.2,                   4,                   0,              0.0168,             0.64305,             0.46853,                   0,             0.12192,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.2187
             0.71747,             0.83791,             0.81156,             0.64111,            0.012982,             0.01468,            0.019086,             0.00909,             0.01104,               0.937,             0.00059,               3.078,             0.88829,             0.08245,             0.04085,             0.49105,             0.86523,             0.90236,             0.97281,                 0.2,                   4,                   0,             0.01209,             0.78646,             0.41646,                   0,             0.08257,             0.52514,                   0,                   0,                   0,                 0.5,             0.92083,                   0,                   0,              4.2706
              0.7363,              0.8296,              0.8195,             0.65609,            0.015741,            0.015896,            0.019171,                0.01,              0.0106,             0.93781,              0.0005,              3.2298,             0.85541,             0.09795,             0.04954,             0.47378,              1.0079,             0.98133,             0.96382,                 0.2,              3.8867,                   0,             0.01467,             0.69553,             0.40815,                   0,             0.09477,             0.50722,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               2.822
             0.72518,             0.83219,               0.825,             0.65692,           0.0094468,            0.028088,            0.017392,             0.00805,                0.01,                0.98,             0.00043,              3.4159,             0.73963,             0.08872,             0.03009,             0.52281,             0.66033,              1.2011,              1.7309,                 0.2,              4.4842,                   0,             0.00765,             0.70656,               0.244,                   0,             0.11582,             0.35315,                   0,                   0,                   0,                 0.5,             0.75512,                   0,                   0,              2.9199
             0.73262,              0.8245,             0.82062,             0.65478,            0.010157,             0.02213,            0.019792,             0.00839,             0.01022,              0.9642,             0.00047,              2.9655,             0.91205,             0.08145,             0.03286,             0.51275,             0.79575,               1.176,              1.2574,                 0.2,              4.3767,                   0,             0.00769,             0.62562,             0.24808,                   0,             0.10945,             0.37073,                   0,                   0,                   0,                 0.5,             0.78365,                   0,                   0,              2.5579
             0.71311,             0.84554,             0.80813,              0.6469,           0.0077403,            0.021853,            0.025026,             0.00683,                0.01,                0.98,             0.00043,              2.7725,                0.95,             0.08817,             0.02434,             0.59437,             0.93827,              1.2001,              1.1884,                 0.2,              3.6366,                   0,             0.00783,             0.81206,             0.28202,                   0,             0.11858,             0.32446,                   0,                   0,                   0,                 0.5,             0.79802,                   0,                   0,              2.9004
             0.72329,             0.83085,             0.81816,             0.65265,            0.007341,            0.020301,            0.019221,             0.00711,             0.01122,             0.93398,             0.00046,              3.0447,             0.91205,             0.08126,             0.02255,             0.52281,             0.79662,              1.0649,              1.2499,                 0.2,              4.3474,                   0,             0.00766,             0.63282,             0.19786,                   0,             0.11398,             0.47896,                   0,                   0,                   0,                 0.5,              0.6388,                   0,                   0,              3.0021
             0.73056,             0.82492,             0.81196,             0.64973,            0.010788,            0.021862,            0.026109,             0.00753,                0.01,                0.98,             0.00039,              2.7409,             0.90141,             0.08163,             0.03499,             0.56527,              1.0419,              1.1284,              1.2849,                 0.2,              3.4088,                   0,             0.00774,             0.60303,             0.22495,                   0,             0.12603,              0.3273,                   0,                   0,                   0,                 0.5,             0.75512,                   0,                   0,              2.5658
              0.7176,             0.82402,             0.80077,             0.63216,            0.010583,            0.021352,            0.022925,             0.00827,                0.01,              0.9445,             0.00043,              2.9128,             0.89867,             0.08793,             0.03269,             0.52281,             0.87836,              1.1587,               1.176,                 0.2,              3.8512,                   0,             0.00758,             0.62588,             0.24808,                   0,             0.10257,             0.35805,                   0,                   0,                   0,                 0.5,             0.76986,                   0,                   0,                   2
             0.71863,              0.8368,              0.8152,             0.65357,            0.010185,            0.024032,            0.022871,             0.00839,             0.01059,             0.97581,             0.00045,              2.7168,             0.91205,             0.07708,             0.03286,              0.5702,             0.87797,              1.2387,              1.3155,                 0.2,              4.0073,                   0,             0.00783,             0.66741,             0.23845,                   0,             0.10813,             0.38786,                   0,                   0,                   0,                 0.5,             0.69513,                   0,                   0,              2.6678
             0.70114,             0.82422,             0.80327,             0.63443,              0.0103,            0.022912,            0.025791,             0.00814,                0.01,             0.97504,             0.00047,              2.8663,             0.91205,             0.08209,             0.03286,             0.51998,             0.88601,              1.2063,              1.2512,                 0.2,              4.4108,                   0,             0.00813,              0.6251,             0.24077,                   0,             0.10751,             0.38896,                   0,                   0,                   0,                 0.5,             0.75512,                   0,                   0,              2.4588
             0.71185,             0.84996,             0.81769,             0.65224,           0.0073332,            0.021118,            0.022417,             0.00914,                0.01,             0.94868,             0.00045,              2.8532,             0.91205,              0.1026,             0.02289,             0.52281,              0.9032,              1.1354,              1.1625,                 0.2,              4.4108,                   0,             0.00783,             0.67624,             0.29116,                   0,             0.11156,             0.35619,                   0,                   0,                   0,                 0.5,              0.9303,                   0,                   0,              3.1513
             0.71133,             0.83557,             0.81105,             0.64655,            0.010058,             0.02195,            0.020411,             0.00797,                0.01,                0.98,             0.00047,              2.4013,             0.92455,             0.07722,             0.03286,             0.50239,              0.7669,              1.1587,              1.2398,                 0.2,              4.4108,                   0,             0.00783,             0.59791,             0.20487,                   0,             0.09024,             0.38947,                   0,                   0,                   0,                 0.5,             0.75953,                   0,                   0,              2.5579
             0.74854,             0.81486,             0.81601,             0.64698,            0.010825,            0.024018,            0.021369,             0.00827,             0.01046,             0.97668,             0.00049,              2.9128,                0.95,             0.07379,             0.03411,             0.52281,             0.93491,              1.1587,              1.4083,                 0.2,              4.3568,                   0,             0.00756,             0.62562,             0.30432,                   0,             0.11947,             0.37908,                   0,                   0,                   0,                 0.5,             0.82003,                   0,                   0,                   2
              0.7303,             0.82417,             0.81543,             0.65004,            0.010719,            0.023034,            0.012904,             0.00956,             0.01188,             0.90995,             0.00047,              3.0485,             0.52263,              0.0788,             0.03368,              0.3686,             0.74571,              1.1587,              1.2849,                 0.2,               3.314,                   0,             0.00939,             0.62562,             0.23817,                   0,             0.12921,             0.37908,                   0,                   0,                   0,                 0.5,              0.9214,                   0,                   0,              3.2098
             0.72177,             0.83012,             0.82072,             0.65545,           0.0097129,            0.020475,            0.017743,             0.00827,                0.01,                0.98,             0.00049,              2.9128,             0.91205,             0.08376,             0.03101,              0.5266,             0.67036,              1.0596,              1.2849,                 0.2,              5.3949,                   0,             0.00723,             0.67687,             0.23996,                   0,             0.10751,             0.41746,                   0,                   0,                   0,                 0.5,             0.75512,                   0,                   0,              2.7601
             0.71876,             0.83908,             0.80725,             0.64495,           0.0086925,            0.022635,              0.0201,             0.00725,                0.01,                0.98,             0.00044,              2.7222,             0.91398,             0.08163,             0.02766,             0.52281,             0.81447,              1.1587,              1.3157,                 0.2,              3.7047,                   0,             0.00838,             0.62562,             0.25456,                   0,             0.09791,             0.40517,                   0,                   0,                   0,                 0.5,             0.79719,                   0,                   0,              2.5701
             0.72978,              0.8331,              0.8226,             0.65875,            0.010764,            0.022265,            0.019244,             0.00815,                0.01,             0.97319,             0.00051,              2.6441,             0.88543,             0.08108,             0.03493,             0.48886,             0.84618,              1.1587,              1.2849,                 0.2,              4.6929,                   0,             0.00757,             0.62562,             0.25722,                   0,             0.10751,               0.358,                   0,                   0,                   0,                 0.5,             0.72277,                   0,                   0,              2.5597
             0.73999,             0.81595,             0.82166,               0.649,             0.01595,            0.010456,            0.017397,             0.00695,             0.01017,             0.86925,             0.00055,              3.1411,                0.95,             0.10006,             0.04815,             0.47407,             0.88229,             0.63046,             0.96382,                 0.2,               4.673,                   0,             0.01215,             0.69553,              0.5033,                   0,             0.10479,             0.50722,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               2.822
             0.72582,             0.82784,              0.8147,              0.6515,            0.018123,            0.016149,            0.019312,             0.00875,                0.01,             0.93781,             0.00051,              3.3068,             0.82978,             0.10327,             0.05711,             0.47378,              1.0079,              1.0138,              0.9483,                 0.2,              4.3724,                   0,             0.01454,             0.69553,              0.3798,                   0,             0.10624,             0.50565,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.0525
             0.72784,             0.81759,             0.80873,             0.64525,            0.015716,            0.017174,            0.018132,              0.0104,              0.0111,             0.94937,             0.00048,              3.0368,             0.85541,             0.09472,             0.04966,             0.44171,             0.95484,              1.0659,             0.96382,                 0.2,              3.9854,                   0,             0.01431,             0.67482,             0.38502,                   0,             0.09477,              0.5129,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.1955
