               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   6,            0.021311,            0.017788,            0.015559,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0081964,           0.0081964,           0.0081964
                   7,            0.018724,            0.017298,            0.014547,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0066037,           0.0066037,           0.0066037
                   8,            0.017438,             0.01712,            0.013628,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005011,            0.005011,            0.005011
                   9,            0.015909,            0.016486,            0.012682,             0.75286,             0.85378,             0.84577,             0.66072,            0.018154,            0.011665,            0.019202,           0.0034183,           0.0034183,           0.0034183
                   0,            0.064021,            0.030481,            0.027572,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.057804,           0.0033167,           0.0033167
                   1,            0.044232,            0.023591,            0.023833,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.044937,           0.0060181,           0.0060181
                   2,            0.035893,            0.019922,            0.020287,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.031407,           0.0080555,           0.0080555
                   3,            0.028533,            0.019115,            0.018746,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.017213,           0.0094289,           0.0094289
                   4,            0.023606,            0.018421,            0.017903,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091219,           0.0091219,           0.0091219
                   5,            0.022623,            0.017767,            0.017305,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091219,           0.0091219,           0.0091219
                   6,            0.019784,            0.017224,            0.016301,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076324,           0.0076324,           0.0076324
                   7,            0.017637,              0.0168,            0.015408,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0061428,           0.0061428,           0.0061428
                   8,            0.016512,            0.016458,            0.014767,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046533,           0.0046533,           0.0046533
                   9,            0.015213,            0.015918,            0.013602,             0.75212,             0.83008,              0.8303,             0.64175,            0.017627,            0.011804,            0.020521,           0.0031638,           0.0031638,           0.0031638
                   0,            0.071385,            0.032168,            0.026037,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.051674,           0.0031495,           0.0031495
                   1,            0.046803,            0.026018,            0.023318,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039833,            0.005715,            0.005715
                   2,            0.040267,             0.02119,            0.019649,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.027363,           0.0076502,           0.0076502
                   3,            0.032238,            0.020258,            0.017784,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.014262,           0.0089551,           0.0089551
                   4,             0.02615,            0.019559,            0.017535,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0084102,           0.0084102,           0.0084102
                   5,            0.024148,            0.018932,            0.016479,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0084102,           0.0084102,           0.0084102
                   6,            0.021334,            0.018147,            0.015497,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0070378,           0.0070378,           0.0070378
                   7,             0.01959,            0.017508,             0.01454,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056653,           0.0056653,           0.0056653
                   8,            0.018035,            0.017305,            0.013767,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042929,           0.0042929,           0.0042929
                   9,            0.016576,            0.016755,            0.012868,             0.74763,             0.84827,             0.84172,             0.64474,            0.019593,            0.012048,            0.017277,           0.0029204,           0.0029204,           0.0029204
                   0,            0.068539,            0.030636,            0.028627,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.055922,           0.0034077,           0.0034077
                   1,            0.046713,             0.02408,            0.024818,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.043228,           0.0061831,           0.0061831
                   2,            0.039031,            0.020377,            0.021342,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.029852,           0.0082765,           0.0082765
                   3,            0.030781,            0.019525,            0.019462,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.015794,           0.0096878,           0.0096878
                   4,            0.024906,            0.018693,            0.018581,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091527,           0.0091527,           0.0091527
                   5,            0.023965,              0.0181,            0.018082,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091527,           0.0091527,           0.0091527
                   6,            0.021361,            0.017494,            0.016788,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076584,           0.0076584,           0.0076584
                   7,            0.019037,            0.017073,            0.015852,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006164,            0.006164,            0.006164
                   8,            0.017789,             0.01676,             0.01534,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046697,           0.0046697,           0.0046697
                   9,            0.016199,            0.016131,            0.014224,             0.74487,              0.8375,             0.83117,              0.6413,            0.018759,            0.012074,             0.02204,           0.0031754,           0.0031754,           0.0031754
                   0,            0.064498,            0.020705,            0.026249,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.05666,           0.0024018,           0.0024018
                   1,            0.041838,            0.019952,            0.023952,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.042816,           0.0043573,           0.0043573
                   2,             0.03476,            0.016951,            0.020569,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.028491,           0.0058314,           0.0058314
                   3,            0.028407,            0.014639,            0.018576,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.013684,           0.0068241,           0.0068241
                   4,            0.022148,            0.013549,            0.018355,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006503,            0.006503,            0.006503
                   5,            0.019987,            0.013135,            0.017729,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006503,            0.006503,            0.006503
                   6,            0.017653,            0.012514,            0.016896,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054388,           0.0054388,           0.0054388
                   7,            0.015981,            0.012069,            0.016211,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0043746,           0.0043746,           0.0043746
                   8,            0.014995,            0.011894,            0.015428,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033103,           0.0033103,           0.0033103
                   9,            0.014127,            0.011473,            0.014561,             0.76219,             0.84077,             0.84277,             0.65414,            0.016754,           0.0089152,            0.018906,           0.0022461,           0.0022461,           0.0022461
                   0,            0.065459,             0.03731,            0.035381,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.051271,           0.0033931,           0.0033931
                   1,            0.042876,            0.030915,            0.029115,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039876,           0.0061567,           0.0061567
                   2,            0.036344,            0.024585,            0.024865,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.027802,            0.008241,            0.008241
                   3,            0.030418,            0.023503,            0.023911,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.015049,           0.0096462,           0.0096462
                   4,            0.025401,            0.022365,            0.022852,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009086,            0.009086,            0.009086
                   5,            0.023054,            0.021555,            0.021748,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009086,            0.009086,            0.009086
                   6,            0.020948,            0.020797,            0.020343,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076024,           0.0076024,           0.0076024
                   7,            0.018628,            0.020207,            0.019599,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0061189,           0.0061189,           0.0061189
                   8,            0.017199,            0.019395,            0.018478,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046354,           0.0046354,           0.0046354
                   9,            0.015763,            0.018877,            0.017107,             0.76019,              0.8455,             0.84442,             0.65571,            0.017934,            0.013375,            0.024856,           0.0031519,           0.0031519,           0.0031519
                   0,            0.068162,            0.022027,            0.026137,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.056258,           0.0024778,           0.0024778
                   1,            0.044794,            0.020934,            0.023353,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.041991,           0.0044948,           0.0044948
                   2,            0.036998,            0.017598,            0.020012,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.027227,           0.0060149,           0.0060149
                   3,            0.030048,            0.015534,            0.018222,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.011966,            0.007038,            0.007038
                   4,            0.023605,             0.01449,            0.017976,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0065064,           0.0065064,           0.0065064
                   5,            0.021465,            0.013863,            0.017182,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0065064,           0.0065064,           0.0065064
                   6,            0.018498,            0.013301,            0.016265,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054405,           0.0054405,           0.0054405
                   7,            0.017196,            0.012829,            0.015616,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0043746,           0.0043746,           0.0043746
                   8,            0.015835,            0.012582,            0.014714,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033087,           0.0033087,           0.0033087
                   9,            0.014696,            0.012148,            0.013712,             0.74685,              0.8446,             0.83076,              0.6467,            0.017749,           0.0090356,            0.018397,           0.0022427,           0.0022427,           0.0022427
                   0,            0.071666,            0.019586,            0.021583,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.068643,           0.0029045,           0.0029045
                   1,            0.048083,            0.018975,            0.020817,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.050784,           0.0052725,           0.0052725
